combo,pop
L_a/r R_bk/w,9
L_a/n R_bk/w,9
L_a/gy R_bk/w,9
L_a/r R_0/0,9.5
L_a/0 R_g/0,9.5
L_a/0 R_n/0,9.5
L_a/0 R_bk/0,9.5
L_a/0 R_y/0,9.5
L_a/0 R_w/0,9.5
L_a/0 R_or/0,9.5
L_a/0 R_n/r,9.5
L_a/0 R_r/g,9.5
L_a/0 R_g/w,9.5
L_a/0 R_w/bk,9.5
L_a/0 R_r/0,9.5
L_a/0 R_bk/y,9.5
L_a/0 R_y/or,9.5
L_a/0 R_n/n,9.5
L_a/0 R_r/r,9.5
L_a/0 R_g/g,9.5
L_a/0 R_y/y,9.5
L_a/0 R_w/w,9.5
L_a/0 R_bk/bk,9.5
L_a/0 R_r/0,9.5
L_n/0 R_a/0,9.5
L_g/0 R_a/0,9.5
L_bk/0 R_a/0,9.5
L_r/n R_a/gy,10
L_r/g R_a/gy,9
L_n/g R_a/gy,2
L_w/0 R_a/0,9.5
L_a/y R_0/0,9.5
L_or/0 R_a/0,9.5
L_r/0 R_a/0,9.5
L_y/0 R_a/0,9.5
L_n/a R_0/0,9.5
L_r/n R_gy/a,9
L_a/gy R_n/g,9
L_g/w R_a/gy,9
L_r/a R_0/0,3
L_n/a R_0/0,3
L_g/a R_0/0,3
L_bk/a R_0/0,3
L_w/a R_0/0,3
L_y/a R_0/0,3
L_or/a R_0/0,3
L_a/0 R_r/0,3
L_a/0 R_n/0,3
L_a/0 R_g/0,3
L_a/0 R_bk/0,3
L_a/0 R_w/0,3
L_a/0 R_y/0,3
L_a/0 R_or/0,3
L_r/0 R_a/0,3
L_n/0 R_a/0,3
L_g/0 R_a/0,3
L_bk/0 R_a/0,3
L_r/0 R_a/gy,2
L_n/0 R_a/gy,2
L_n/g R_a/r,2
L_g/g R_a/n,2
L_r/r R_a/n,9
L_n/w R_a/y,9
L_w/g R_a/r,9
L_w/g R_a/g,9
L_g/n R_a/w,9
L_n/n R_a/bk,9
L_y/y R_a/y,9
L_w/0 R_a/0,3
L_y/0 R_a/0,3
L_or/0 R_a/0,3
L_0/0 R_r/0,3
L_0/0 R_n/a,3
L_0/0 R_g/a,3
L_0/0 R_bk/a,3
L_0/0 R_y/a,3
L_0/0 R_or/a,3
L_w/w R_a/y,2
L_w/n R_a/y,2
L_w/g R_a/y,2
L_r/w R_a/g,9
